Tipo;GC_Content
Micelio;37.73584906
Micelio;40.06622517
Micelio;38.01916933
Micelio;39.47939262
Micelio;39.23444976
Micelio;35.09933775
Micelio;39.1198044
Micelio;39.84962406
Micelio;32.33532934
Micelio;42.47787611
Micelio;38.70967742
Micelio;33.25688073
Levadura;41.66666667
Levadura;40.49586777
Levadura;43.82022472
Levadura;42.22222222
Levadura;42.01680672
Levadura;40.46511628
Levadura;38.41059603
Levadura;37.58241758
Levadura;37.6940133
Levadura;29.37219731
Aleatorio;38.8
Aleatorio;36.6
Aleatorio;38.4
Aleatorio;26.8
Aleatorio;38
Aleatorio;37.8
Aleatorio;33.8
Aleatorio;38.8
Aleatorio;37.6
Aleatorio;39.2
Aleatorio;39.4
Aleatorio;43.4
