Organismo;longitud
Hesve2finisherSC;465
Hesve2finisherSC;-32
Hesve2finisherSC;97
Hesve2finisherSC;-96
Hesve2finisherSC;157
Hesve2finisherSC;371
Hesve2finisherSC;317
Hesve2finisherSC;315
Hesve2finisherSC;193
Hesve2finisherSC;386
Hesve2finisherSC;222
Hesve2finisherSC;416
Hesve2finisherSC;160
Hesve2finisherSC;205
Hesve2finisherSC;143
Hesve2finisherSC;345
Hesve2finisherSC;395
Hesve2finisherSC;175
Hesve2finisherSC;292
Hesve2finisherSC;120
Hesve2finisherSC;97
Hesve2finisherSC;371
Hesve2finisherSC;349
Hesve2finisherSC;119
Hesve2finisherSC;311
Hesve2finisherSC;140
Hesve2finisherSC;192
Hesve2finisherSC;267
Hesve2finisherSC;352
Hesve2finisherSC;128
Hesve2finisherSC;110
Hesve2finisherSC;375
Hesve2finisherSC;173
Hesve2finisherSC;241
Hesve2finisherSC;400
Hesve2finisherSC;67
Hesve2finisherSC;51
Hesve2finisherSC;442
Hesve2finisherSC;121
Hesve2finisherSC;131
Hesve2finisherSC;47
Hesve2finisherSC;472
Hesve2finisherSC;178
Hesve2finisherSC;109
Hesve2finisherSC;395
Hesve2finisherSC;485
Hesve2finisherSC;468
Hesve2finisherSC;357
Hesve2finisherSC;286
Hesve2finisherSC;106
Hesve2finisherSC;431
Hesve2finisherSC;69
Hesve2finisherSC;163
Hesve2finisherSC;402
Hesve2finisherSC;75
Hesve2finisherSC;144
Hesve2finisherSC;115
Hesve2finisherSC;395
Hesve2finisherSC;356
Hesve2finisherSC;180
Hesve2finisherSC;90
Hesve2finisherSC;308
Hesve2finisherSC;496
Hesve2finisherSC;121
Hesve2finisherSC;138
Hesve2finisherSC;363
Hesve2finisherSC;397
Hesve2finisherSC;194
Hesve2finisherSC;329
Hesve2finisherSC;322
Hesve2finisherSC;119
Hesve2finisherSC;473
Hesve2finisherSC;212
Hesve2finisherSC;178
Hesve2finisherSC;487
Hesve2finisherSC;36
Hesve2finisherSC;216
Hesve2finisherSC;273
Hesve2finisherSC;223
Hesve2finisherSC;158
Hesve2finisherSC;94
Hesve2finisherSC;176
Hesve2finisherSC;205
Hesve2finisherSC;108
Hesve2finisherSC;282
Hesve2finisherSC;406
Hesve2finisherSC;299
Hesve2finisherSC;437
Hesve2finisherSC;171
Hesve2finisherSC;88
Hesve2finisherSC;349
Hesve2finisherSC;207
Hesve2finisherSC;356
Hesve2finisherSC;94
Hesve2finisherSC;96
Hesve2finisherSC;159
Hesve2finisherSC;289
Hesve2finisherSC;361
Hesve2finisherSC;186
Hesve2finisherSC;142
Hesve2finisherSC;101
Hesve2finisherSC;428
Hesve2finisherSC;148
Hesve2finisherSC;186
Hesve2finisherSC;50
Hesve2finisherSC;137
Hesve2finisherSC;396
Hesve2finisherSC;332
Hesve2finisherSC;75
Hesve2finisherSC;495
Hesve2finisherSC;205
Hesve2finisherSC;244
Hesve2finisherSC;75
Hesve2finisherSC;152
Hesve2finisherSC;484
Hesve2finisherSC;121
Hesve2finisherSC;88
Hesve2finisherSC;318
Hesve2finisherSC;165
Hesve2finisherSC;172
Hesve2finisherSC;112
Hesve2finisherSC;291
Hesve2finisherSC;393
Hesve2finisherSC;429
Hesve2finisherSC;126
Hesve2finisherSC;172
Hesve2finisherSC;405
Hesve2finisherSC;244
Hesve2finisherSC;321
Hesve2finisherSC;486
Hesve2finisherSC;167
Hesve2finisherSC;136
Hesve2finisherSC;341
Hesve2finisherSC;145
Hesve2finisherSC;492
Hesve2finisherSC;183
Hesve2finisherSC;65
Hesve2finisherSC;442
Hesve2finisherSC;327
Hesve2finisherSC;320
Hesve2finisherSC;95
Hesve2finisherSC;200
Hesve2finisherSC;310
Hesve2finisherSC;173
Hesve2finisherSC;154
Hesve2finisherSC;210
Hesve2finisherSC;162
Hesve2finisherSC;229
Hesve2finisherSC;114
Hesve2finisherSC;141
Hesve2finisherSC;328
Hesve2finisherSC;140
Hesve2finisherSC;78
Hesve2finisherSC;360
Hesve2finisherSC;54
Hesve2finisherSC;330
Hesve2finisherSC;57
Hesve2finisherSC;65
Hesve2finisherSC;65
Hesve2finisherSC;62
Hesve2finisherSC;-308
Hesve2finisherSC;130
Hesve2finisherSC;-308
Hesve2finisherSC;66
Hesve2finisherSC;413
Hesve2finisherSC;83
Hesve2finisherSC;68
Hesve2finisherSC;83
Hesve2finisherSC;114
Hesve2finisherSC;74
Hesve2finisherSC;117
Hesve2finisherSC;66
Hesve2finisherSC;335
Hesve2finisherSC;175
Hesve2finisherSC;137
Hesve2finisherSC;317
Hesve2finisherSC;361
Hesve2finisherSC;332
Hesve2finisherSC;146
Hesve2finisherSC;74
Hesve2finisherSC;448
Hesve2finisherSC;132
Hesve2finisherSC;396
Hesve2finisherSC;95
Hesve2finisherSC;358
Hesve2finisherSC;225
Hesve2finisherSC;200
Hesve2finisherSC;86
Hesve2finisherSC;489
Hesve2finisherSC;435
Hesve2finisherSC;451
Hesve2finisherSC;114
Hesve2finisherSC;251
Hesve2finisherSC;334
Hesve2finisherSC;103
Hesve2finisherSC;256
Hesve2finisherSC;323
Hesve2finisherSC;382
Hesve2finisherSC;161
Hesve2finisherSC;-1
Hesve2finisherSC;360
Hesve2finisherSC;272
Hesve2finisherSC;156
Hesve2finisherSC;131
Hesve2finisherSC;366
Hesve2finisherSC;388
Hesve2finisherSC;169
Hesve2finisherSC;123
Hesve2finisherSC;121
Hesve2finisherSC;170
Hesve2finisherSC;337
Hesve2finisherSC;394
Hesve2finisherSC;141
Hesve2finisherSC;240
Hesve2finisherSC;329
Hesve2finisherSC;54
Hesve2finisherSC;71
Hesve2finisherSC;495
Hesve2finisherSC;174
Hesve2finisherSC;162
Hesve2finisherSC;296
Hesve2finisherSC;432
Hesve2finisherSC;382
Hesve2finisherSC;466
Hesve2finisherSC;466
Hesve2finisherSC;401
Hesve2finisherSC;476
Hesve2finisherSC;361
Hesve2finisherSC;494
Hesve2finisherSC;316
Hesve2finisherSC;84
Hesve2finisherSC;396
Hesve2finisherSC;443
Hesve2finisherSC;107
Hesve2finisherSC;80
Hesve2finisherSC;289
Hesve2finisherSC;429
Hesve2finisherSC;180
Hesve2finisherSC;92
Hesve2finisherSC;180
Hesve2finisherSC;432
Hesve2finisherSC;337
Hesve2finisherSC;385
Hesve2finisherSC;78
Hesve2finisherSC;145
Hesve2finisherSC;73
Hesve2finisherSC;180
Hesve2finisherSC;39
Hesve2finisherSC;323
Hesve2finisherSC;101
Hesve2finisherSC;374
Hesve2finisherSC;492
Hesve2finisherSC;116
Hesve2finisherSC;298
Hesve2finisherSC;277
Hesve2finisherSC;453
Hesve2finisherSC;122
Hesve2finisherSC;351
Hesve2finisherSC;346
Hesve2finisherSC;361
Hesve2finisherSC;267
Hesve2finisherSC;125
Hesve2finisherSC;159
Hesve2finisherSC;314
Hesve2finisherSC;133
Hesve2finisherSC;225
Hesve2finisherSC;396
Hesve2finisherSC;-47
Hesve2finisherSC;480
Hesve2finisherSC;75
Hesve2finisherSC;77
Hesve2finisherSC;86
Hesve2finisherSC;63
Hesve2finisherSC;463
Hesve2finisherSC;374
Hesve2finisherSC;36
Hesve2finisherSC;468
Hesve2finisherSC;325
Hesve2finisherSC;102
Hesve2finisherSC;385
Hesve2finisherSC;164
Hesve2finisherSC;115
Hesve2finisherSC;495
Hesve2finisherSC;173
Hesve2finisherSC;447
Hesve2finisherSC;79
Hesve2finisherSC;364
Hesve2finisherSC;304
Hesve2finisherSC;432
Hesve2finisherSC;263
Hesve2finisherSC;396
Hesve2finisherSC;434
Hesve2finisherSC;238
Hesve2finisherSC;96
Hesve2finisherSC;297
Hesve2finisherSC;398
Hesve2finisherSC;411
Hesve2finisherSC;160
Hesve2finisherSC;161
Hesve2finisherSC;-468
Hesve2finisherSC;119
Hesve2finisherSC;142
Hesve2finisherSC;78
Hesve2finisherSC;288
Hesve2finisherSC;50
Hesve2finisherSC;360
Hesve2finisherSC;-51
Hesve2finisherSC;94
Hesve2finisherSC;270
Hesve2finisherSC;-57
Hesve2finisherSC;107
Hesve2finisherSC;435
Hesve2finisherSC;189
Hesve2finisherSC;82
Hesve2finisherSC;184
Hesve2finisherSC;223
Hesve2finisherSC;115
Hesve2finisherSC;100
Hesve2finisherSC;365
Hesve2finisherSC;472
Hesve2finisherSC;97
Hesve2finisherSC;242
Hesve2finisherSC;53
Hesve2finisherSC;72
Hesve2finisherSC;361
Hesve2finisherSC;370
Hesve2finisherSC;189
Hesve2finisherSC;63
Hesve2finisherSC;165
Hesve2finisherSC;430
Hesve2finisherSC;463
Hesve2finisherSC;231
Hesve2finisherSC;104
Hesve2finisherSC;145
Hesve2finisherSC;117
Hesve2finisherSC;156
Hesve2finisherSC;465
Hesve2finisherSC;100
Hesve2finisherSC;171
Hesve2finisherSC;174
Hesve2finisherSC;40
Hesve2finisherSC;112
Hesve2finisherSC;331
Hesve2finisherSC;334
Hesve2finisherSC;191
Hesve2finisherSC;197
Hesve2finisherSC;121
Hesve2finisherSC;-144
Hesve2finisherSC;158
Hesve2finisherSC;170
Hesve2finisherSC;124
Hesve2finisherSC;433
Hesve2finisherSC;179
Hesve2finisherSC;121
Hesve2finisherSC;317
Hesve2finisherSC;375
Hesve2finisherSC;293
Hesve2finisherSC;16
Hesve2finisherSC;151
Hesve2finisherSC;85
Hesve2finisherSC;100
Hesve2finisherSC;83
Hesve2finisherSC;318
Hesve2finisherSC;420
Hesve2finisherSC;136
Hesve2finisherSC;380
Hesve2finisherSC;304
Hesve2finisherSC;320
Hesve2finisherSC;169
Hesve2finisherSC;117
Hesve2finisherSC;116
Hesve2finisherSC;181
Hesve2finisherSC;319
Hesve2finisherSC;149
Hesve2finisherSC;264
Hesve2finisherSC;456
Hesve2finisherSC;435
Hesve2finisherSC;162
Hesve2finisherSC;314
Hesve2finisherSC;119
Hesve2finisherSC;211
Hesve2finisherSC;157
Hesve2finisherSC;318
Hesve2finisherSC;131
Hesve2finisherSC;253
Hesve2finisherSC;179
Hesve2finisherSC;224
Hesve2finisherSC;21
Hesve2finisherSC;167
Hesve2finisherSC;160
Hesve2finisherSC;-251
Hesve2finisherSC;399
Hesve2finisherSC;137
Hesve2finisherSC;210
Hesve2finisherSC;165
Hesve2finisherSC;228
Hesve2finisherSC;93
Hesve2finisherSC;139
Hesve2finisherSC;98
Hesve2finisherSC;251
Hesve2finisherSC;332
Hesve2finisherSC;33
Hesve2finisherSC;192
Hesve2finisherSC;440
Hesve2finisherSC;426
Hesve2finisherSC;362
Hesve2finisherSC;171
Hesve2finisherSC;268
Hesve2finisherSC;249
Hesve2finisherSC;429
Hesve2finisherSC;375
Hesve2finisherSC;375
Hesve2finisherSC;184
Hesve2finisherSC;113
Hesve2finisherSC;282
Hesve2finisherSC;385
Hesve2finisherSC;428
Hesve2finisherSC;179
Hesve2finisherSC;165
Hesve2finisherSC;175
Hesve2finisherSC;301
Hesve2finisherSC;446
Hesve2finisherSC;339
Hesve2finisherSC;51
Hesve2finisherSC;429
Hesve2finisherSC;381
Hesve2finisherSC;292
Hesve2finisherSC;177
Hesve2finisherSC;59
Hesve2finisherSC;156
Hesve2finisherSC;370
Hesve2finisherSC;-304
Hesve2finisherSC;55
Hesve2finisherSC;405
Hesve2finisherSC;318
Hesve2finisherSC;437
Hesve2finisherSC;80
Hesve2finisherSC;76
Hesve2finisherSC;352
Hesve2finisherSC;211
Hesve2finisherSC;198
Hesve2finisherSC;121
Hesve2finisherSC;106
Hesve2finisherSC;263
Hesve2finisherSC;40
Hesve2finisherSC;332
Hesve2finisherSC;455
Hesve2finisherSC;395
Hesve2finisherSC;494
Hesve2finisherSC;161
Hesve2finisherSC;70
Hesve2finisherSC;496
Hesve2finisherSC;392
Hesve2finisherSC;366
Hesve2finisherSC;288
Hesve2finisherSC;252
Hesve2finisherSC;434
Hesve2finisherSC;299
Hesve2finisherSC;150
Hesve2finisherSC;67
Hesve2finisherSC;343
Hesve2finisherSC;201
Hesve2finisherSC;157
Hesve2finisherSC;61
Hesve2finisherSC;207
Hesve2finisherSC;445
Hesve2finisherSC;121
Hesve2finisherSC;291
Hesve2finisherSC;453
Hesve2finisherSC;424
Hesve2finisherSC;196
Hesve2finisherSC;223
Hesve2finisherSC;43
Hesve2finisherSC;386
Hesve2finisherSC;155
Hesve2finisherSC;315
Hesve2finisherSC;78
Hesve2finisherSC;94
Hesve2finisherSC;423
Hesve2finisherSC;466
Hesve2finisherSC;89
Hesve2finisherSC;288
Hesve2finisherSC;376
Hesve2finisherSC;251
Hesve2finisherSC;424
Hesve2finisherSC;200
Hesve2finisherSC;235
Hesve2finisherSC;335
Hesve2finisherSC;135
Hesve2finisherSC;166
Hesve2finisherSC;152
Hesve2finisherSC;71
Hesve2finisherSC;72
Hesve2finisherSC;179
Hesve2finisherSC;153
Hesve2finisherSC;42
Hesve2finisherSC;407
Hesve2finisherSC;381
Hesve2finisherSC;127
Hesve2finisherSC;390
Hesve2finisherSC;460
Hesve2finisherSC;143
Hesve2finisherSC;136
Hesve2finisherSC;199
Hesve2finisherSC;74
Hesve2finisherSC;124
Hesve2finisherSC;217
Hesve2finisherSC;308
Hesve2finisherSC;179
Hesve2finisherSC;135
Hesve2finisherSC;468
Hesve2finisherSC;101
Hesve2finisherSC;152
Hesve2finisherSC;144
Hesve2finisherSC;181
